Categoria,COD. ESTADO,UF,ESTADO,c3.0.00.00.00.00,c3.1.00.00.00.00,c3.1.30.00.00.00,c3.1.35.00.00.00,c3.1.36.00.00.00,c3.1.45.00.00.00,c3.1.46.00.00.00,c3.1.70.00.00.00,c3.1.71.00.00.00,c3.1.73.00.00.00,c3.1.74.00.00.00,c3.1.75.00.00.00,c3.1.76.00.00.00,c3.1.90.00.00.00,c3.1.90.01.00.00,c3.1.90.03.00.00,c3.1.90.04.00.00,c3.1.90.04.01.00,c3.1.90.04.99.00,c3.1.90.05.00.00,c3.1.90.07.00.00,c3.1.90.11.00.00,c3.1.90.11.01.00,c3.1.90.11.99.00,c3.1.90.12.00.00,c3.1.90.13.00.00,c3.1.90.16.00.00,c3.1.90.17.00.00,c3.1.90.91.00.00,c3.1.90.92.00.00,c3.1.90.92.01.00,c3.1.90.92.03.00,c3.1.90.92.04.00,c3.1.90.92.05.00,c3.1.90.92.07.00,c3.1.90.92.11.00,c3.1.90.92.12.00,c3.1.90.92.13.00,c3.1.90.92.16.00,c3.1.90.92.17.00,c3.1.90.92.91.00,c3.1.90.92.94.00,c3.1.90.92.96.00,c3.1.90.92.99.00,c3.1.90.94.00.00,c3.1.90.94.01.00,c3.1.90.94.02.00,c3.1.90.94.03.00,c3.1.90.94.04.00,c3.1.90.94.06.00,c3.1.90.94.13.00,c3.1.90.94.99.00,c3.1.90.96.00.00,c3.1.90.99.00.00,c3.1.91.00.00.00,c3.1.91.04.00.00,c3.1.91.13.00.00,c3.1.91.91.00.00,c3.1.91.94.00.00,c3.1.91.96.00.00,c3.1.91.99.00.00,c3.1.95.00.00.00,c3.1.96.00.00.00,c3.1.99.00.00.00,c3.2.00.00.00.00,c3.2.71.00.00.00,c3.2.73.00.00.00,c3.2.74.00.00.00,c3.2.90.00.00.00,c3.2.95.00.00.00,c3.2.96.00.00.00,c3.2.99.00.00.00,c3.3.00.00.00.00,c3.3.20.00.00.00,c3.3.30.00.00.00,c3.3.30.30.00.00,c3.3.30.30.01.00,c3.3.30.30.99.00,c3.3.30.99.00.00,c3.3.31.00.00.00,c3.3.32.00.00.00,c3.3.35.00.00.00,c3.3.36.00.00.00,c3.3.40.00.00.00,c3.3.40.30.00.00,c3.3.40.30.01.00,c3.3.40.30.99.00,c3.3.40.41.00.00,c3.3.40.81.00.00,c3.3.40.81.51.00,c3.3.40.81.52.00,c3.3.40.81.53.00,c3.3.40.81.54.00,c3.3.40.81.99.00,c3.3.40.91.00.00,c3.3.40.92.00.00,c3.3.40.93.00.00,c3.3.40.99.00.00,c3.3.41.00.00.00,c3.3.41.41.00.00,c3.3.41.92.00.00,c3.3.41.99.00.00,c3.3.42.00.00.00,c3.3.45.00.00.00,c3.3.46.00.00.00,c3.3.50.00.00.00,c3.3.50.39.00.00,c3.3.50.39.36.00,c3.3.50.39.36.01,c3.3.50.39.36.02,c3.3.50.39.36.03,c3.3.50.39.36.99,c3.3.50.39.50.00,c3.3.50.41.00.00,c3.3.50.43.00.00,c3.3.50.99.00.00,c3.3.60.00.00.00,c3.3.70.00.00.00,c3.3.71.00.00.00,c3.3.72.00.00.00,c3.3.73.00.00.00,c3.3.74.00.00.00,c3.3.75.00.00.00,c3.3.76.00.00.00,c3.3.90.00.00.00,c3.3.90.04.00.00,c3.3.90.04.01.00,c3.3.90.04.01.99,c3.3.90.04.99.00,c3.3.90.08.00.00,c3.3.90.14.00.00,c3.3.90.15.00.00,c3.3.90.18.00.00,c3.3.90.19.00.00,c3.3.90.20.00.00,c3.3.90.30.00.00,c3.3.90.30.01.00,c3.3.90.30.09.00,c3.3.90.30.09.01,c3.3.90.30.09.02,c3.3.90.30.10.00,c3.3.90.30.11.00,c3.3.90.30.16.00,c3.3.90.30.17.00,c3.3.90.30.20.00,c3.3.90.30.21.00,c3.3.90.30.23.00,c3.3.90.30.28.00,c3.3.90.30.35.00,c3.3.90.30.36.00,c3.3.90.30.36.01,c3.3.90.30.36.02,c3.3.90.30.39.00,c3.3.90.30.99.00,c3.3.90.31.00.00,c3.3.90.32.00.00,c3.3.90.33.00.00,c3.3.90.34.00.00,c3.3.90.34.01.00,c3.3.90.35.00.00,c3.3.90.36.00.00,c3.3.90.36.08.00,c3.3.90.36.30.00,c3.3.90.36.99.00,c3.3.90.37.00.00,c3.3.90.38.00.00,c3.3.90.39.00.00,c3.3.90.39.17.00,c3.3.90.39.43.00,c3.3.90.39.44.00,c3.3.90.39.47.00,c3.3.90.39.50.00,c3.3.90.39.50.01,c3.3.90.39.50.02,c3.3.90.39.50.99,c3.3.90.39.99.00,c3.3.90.41.00.00,c3.3.90.46.00.00,c3.3.90.47.00.00,c3.3.90.48.00.00,c3.3.90.48.06.00,c3.3.90.48.07.00,c3.3.90.48.99.00,c3.3.90.49.00.00,c3.3.90.67.00.00,c3.3.90.83.00.00,c3.3.90.91.00.00,c3.3.90.92.00.00,c3.3.90.93.00.00,c3.3.90.95.00.00,c3.3.90.96.00.00,c3.3.90.99.00.00,c3.3.91.00.00.00,c3.3.91.04.00.00,c3.3.91.30.00.00,c3.3.91.30.09.00,c3.3.91.30.10.00,c3.3.91.30.35.00,c3.3.91.30.36.00,c3.3.91.30.99.00,c3.3.91.32.00.00,c3.3.91.39.00.00,c3.3.91.39.17.00,c3.3.91.39.50.00,c3.3.91.47.00.00,c3.3.91.91.00.00,c3.3.91.92.00.00,c3.3.91.93.00.00,c3.3.91.96.00.00,c3.3.91.97.00.00,c3.3.91.99.00.00,c3.3.93.00.00.00,c3.3.93.30.00.00,c3.3.93.32.00.00,c3.3.93.39.00.00,c3.3.94.00.00.00,c3.3.94.30.00.00,c3.3.94.32.00.00,c3.3.94.39.00.00,c3.3.95.00.00.00,c3.3.96.00.00.00,c3.3.99.00.00.00,c4.0.00.00.00.00,c4.4.00.00.00.00,c4.4.20.00.00.00,c4.4.30.00.00.00,c4.4.31.00.00.00,c4.4.32.00.00.00,c4.4.35.00.00.00,c4.4.36.00.00.00,c4.4.40.00.00.00,c4.4.41.00.00.00,c4.4.42.00.00.00,c4.4.45.00.00.00,c4.4.46.00.00.00,c4.4.50.00.00.00,c4.4.70.00.00.00,c4.4.71.00.00.00,c4.4.72.00.00.00,c4.4.73.00.00.00,c4.4.74.00.00.00,c4.4.75.00.00.00,c4.4.76.00.00.00,c4.4.90.00.00.00,c4.4.90.04.00.00,c4.4.90.04.02.00,c4.4.90.04.08.00,c4.4.90.14.00.00,c4.4.90.15.00.00,c4.4.90.17.00.00,c4.4.90.18.00.00,c4.4.90.20.00.00,c4.4.90.30.00.00,c4.4.90.30.09.00,c4.4.90.30.10.00,c4.4.90.30.35.00,c4.4.90.30.36.00,c4.4.90.30.99.00,c4.4.90.33.00.00,c4.4.90.35.00.00,c4.4.90.36.00.00,c4.4.90.36.30.00,c4.4.90.36.99.00,c4.4.90.39.00.00,c4.4.90.47.00.00,c4.4.90.51.00.00,c4.4.90.52.00.00,c4.4.90.52.08.00,c4.4.90.52.99.00,c4.4.90.61.00.00,c4.4.90.91.00.00,c4.4.90.92.00.00,c4.4.90.93.00.00,c4.4.90.99.00.00,c4.4.91.00.00.00,c4.4.91.39.00.00,c4.4.91.51.00.00,c4.4.91.52.00.00,c4.4.91.52.08.00,c4.4.91.52.99.00,c4.4.91.91.00.00,c4.4.91.99.00.00,c4.4.95.00.00.00,c4.4.96.00.00.00,c4.4.99.00.00.00,c4.5.00.00.00.00,c4.5.20.00.00.00,c4.5.35.00.00.00,c4.5.36.00.00.00,c4.5.40.00.00.00,c4.5.42.00.00.00,c4.5.45.00.00.00,c4.5.46.00.00.00,c4.5.70.00.00.00,c4.5.71.00.00.00,c4.5.72.00.00.00,c4.5.73.00.00.00,c4.5.74.00.00.00,c4.5.90.00.00.00,c4.5.90.61.00.00,c4.5.90.62.00.00,c4.5.90.63.00.00,c4.5.90.64.00.00,c4.5.90.65.00.00,c4.5.90.66.00.00,c4.5.90.67.00.00,c4.5.90.82.00.00,c4.5.90.83.00.00,c4.5.90.91.00.00,c4.5.90.92.00.00,c4.5.90.93.00.00,c4.5.90.99.00.00,c4.5.91.00.00.00,c4.5.91.61.00.00,c4.5.91.91.00.00,c4.5.91.92.00.00,c4.5.91.99.00.00,c4.5.99.00.00.00,c4.6.00.00.00.00,c4.6.35.00.00.00,c4.6.36.00.00.00,c4.6.45.00.00.00,c4.6.46.00.00.00,c4.6.71.00.00.00,c4.6.73.00.00.00,c4.6.74.00.00.00,c4.6.90.00.00.00,c4.6.99.00.00.00,cACDO000001,cACDO000002,cACDO000003,cACDO000004,cACDO000005,cACDO000006,cACDO000007
Dotação Inicial,12,AC,Acre,577384192.19,439035003.52,,,,,,,,,,,,425654612.9,,,59739494.99,59622134.38,117360.61,6593.14,,357832137.57,357832137.57,,207965.29,2723570.23,3034851.68,,,1100000.0,,,,,,,,,,,,,,1100000.0,1010000.0,,,,,,,1010000.0,,,13380390.62,,13329390.62,,,,51000.0,,,,,,,,,,,,138349188.67,,,,,,,,,,,5665000.0,1165000.0,,1165000.0,,,,,,,,,4500000.0,,,,,,,,,,16352827.54,,,,,,,,,16352827.54,,,,,,,,,,116331361.13,,,,,30000.0,95000.0,,,,,47314433.0,,,,,,,,,,,,,,,,,,47314433.0,,35000.0,4430000.0,,,,10000.0,,,10000.0,,,60736928.13,,,,,,,,,60736928.13,,,30000.0,300000.0,,,300000.0,,,,3010000.0,340000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4543000.0,4543000.0,,,,,,,,,,,,,,,,,,,,4543000.0,,,,,,,,,,,,,,,,,,,,,,2050000.0,2060000.0,,2060000.0,,14000.0,,419000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581927192.19,,6593.14,6593.14,,,581920599.05
Dotação Inicial,27,AL,Alagoas,261227103.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261227103.41,,,,,,,,,,,72105541.65,,,,,,,,,,,,,,,72105541.65,72105541.65,,,,,,29607761.0,,,,,,,,29607761.0,,,,,,,,,,,159483800.76,,,,,,165000.0,,,,,9431554.0,,,,,,,,,,,,,,,,,,9431554.0,,436000.0,212645.0,,,,70900375.0,,,70900375.0,5110000.0,,58706463.76,,,,,,,,,58706463.76,,,14521763.0,,,,,,,,,,,,,,30000.0,,,,,,,,,,,,30000.0,,,,,,,,,,,,,,,,,,16303343.0,16303343.0,,,,,,,,,,,,,,,,,,,,16303343.0,,,,,,,,,,,,,,,,,,,,,,9600000.0,6703343.0,,6703343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277530446.41,,10000.0,,10000.0,,277520446.41
Dotação Inicial,16,AP,Amapá ,216761834.0,216761834.0,,,,,,,,,,,,216761834.0,,,116761000.0,116761000.0,,,,100000834.0,100000834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216761834.0,,,,,,216761834.0
Dotação Inicial,13,AM,Amazonas,486119900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486119900.0,,,,,,,,,,,3227300.0,,,,,,,,,,,,,,,3227300.0,3227300.0,,,,,,17405400.0,,,,,,,,327100.0,17078300.0,,,,151800.0,,,,,,465335400.0,,,,,,40000.0,,,,,6018000.0,,,,,,,,,,,,,,,,,,6018000.0,,,886800.0,300000100.0,300000100.0,35500.0,,,,,7635500.0,,127157600.0,,,,,,,,,127157600.0,,,,,,,,,,,,,23561900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3425000.0,3425000.0,,,,,,,,,,,,,,,,,,,,3425000.0,,,,,,,,,,,,,,,,,,,,,,1450000.0,1975000.0,,1975000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489544900.0,,,,,,489544900.0
Dotação Inicial,29,BA,Bahia,1535893542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535893542.0,100000.0,,,,,,,,,,58795000.0,,,,4392000.0,,,,,,,,,,,54403000.0,54403000.0,,,,,,20000.0,,,,,,,,,20000.0,,,,54758000.0,,,,,,1100172542.0,,,,,,721000.0,,,,,180613000.0,2661.78,27168260.56,27168260.56,,28356.67,1634937.38,722950.91,131260.4,230510.75,2451912.51,189656.82,1156892.81,5735330.14,33428872.7,,33428872.7,27015.82,107704380.75,,,492000.0,,,,,,,,184592000.0,,731732542.0,,,115800.0,923247.56,680218694.51,534412.52,,679684281.99,50474799.93,,,,2022000.0,,,2022000.0,,,,,,,,,,59128000.0,,,,,,,,,,,,,,,,,,59128000.0,,,,,,,,,,,262920000.0,117233625.0,116153625.0,200000.0,,,,,,,3163281.0,,,,1600000.0,,,,,,,,111190344.0,,,,,,,,,,,,,,,,,,,,,,27170000.0,84020344.0,,84020344.0,,,,,,,,,,,,,,,,,1080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080000.0,,,,,,,,,,,1653127167.0,,59128000.0,,59128000.0,,1593999167.0
Dotação Inicial,23,CE,Ceará,1385034745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385034745.0,,,,,,,,,,,243500825.0,,,,21764700.0,,,,,,,,,,,221736125.0,221736125.0,,,,,,425327637.0,407763793.0,,,,,,407763793.0,17563844.0,,,,,109629959.0,,,,,,606513064.0,,,,,,114823.0,,,,,96588796.0,,,,,,,,,,,,,,,,,,96588796.0,,69738889.0,31250.0,285385351.0,285385351.0,,126925.0,,,126925.0,112695397.0,,41551433.0,,,,,,,,,41551433.0,,,260200.0,,,,,,,,,,20000.0,,,,63260.0,,,,,,,,,,,,63260.0,,,,,,,,,,,,,,,,,,34489321.0,34489321.0,,,,,,,2223422.0,,,,,2049000.0,,,,,,,,30116899.0,,,,,,,,,,,,,,,,5000.0,,,,19427059.0,,5229566.0,5315626.0,,5315626.0,,,139648.0,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419524066.0,,,,,,1419524066.0
Dotação Inicial,53,DF,Distrito Federal,365686989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365686989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000.0,,,,,,,,,,60000000.0,,,,,,,,,305686989.0,,,,,,,,,,,48031095.0,,,,,,,,,,,,,,,,,,48031095.0,,,,,,,400000.0,,,400000.0,,,257255894.0,,,,,,,,,257255894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10170000.0,10170000.0,,,,,,,,,,,,,,,,,,,,10170000.0,,,,,,,,,,,,,,,,,,,,,,7770000.0,2400000.0,,2400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375856989.0,,,,,,375856989.0
Dotação Inicial,32,ES,Espírito Santo,785861921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785861921.0,6500000.0,,,,,,,,,,171000.0,,,,171000.0,,,,,,,,,,,,,,,,,,498493888.0,497118163.0,497118163.0,,,,497118163.0,,,1375725.0,,,13177288.0,,,,,,,266754785.0,,,,,,282760.0,,,,,44599115.0,478371.78,11916013.37,11916013.37,,9721.82,831660.93,454207.68,563007.12,823150.47,99210.76,255269.02,102192.57,1242183.73,13038792.79,,13038792.79,239033.51,14546299.45,,300000.0,2294373.0,62700000.0,62700000.0,,457848.0,,,457848.0,41745311.0,,94945124.0,3995546.34,5958561.61,2080808.27,106048.94,64382618.25,,,64382618.25,18421540.59,,,59155.0,2236467.0,,,2236467.0,957463.0,,,14683256.0,1493913.0,,,,,749960.0,,,,,,,,,689560.0,689560.0,,60400.0,,,,,,,,,,,,,,,15000.0,,,16242480.0,16242480.0,,,,,,,5793755.0,,,3480000.0,,,,,,,,,,6968725.0,,,,,,,,,,,,,,,,,,,,4000000.0,,1000000.0,1968725.0,1187167.18,781557.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802104401.0,802104401.0,,,,,802104401.0
Dotação Inicial,52,GO,Goiás,973463668.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973463668.01,,375.58,375.58,375.58,,,,,,,97822252.67,,,,,,,,,,,,,,,97822252.67,97822252.67,,,,,,47183.28,,,,,,,,,,47183.28,,,,,,,,,875593856.48,,,,,,,,,,,9326194.3,,16445.51,16445.51,,9548.56,,,,,,,,5414499.31,178837.4,,178837.4,,3706863.52,,,816908.05,,,,,,,,1735853.57,,851703944.13,435613.9,11947650.59,487221.18,544914.0,12456389.09,12456389.09,,,825832155.37,,,131548.17,,,,,,,,687355.29,4000584.56,7191468.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109710713.79,109710713.79,,,,,,,,17532172.82,,,,,,,,,,,,92178540.97,,,,,,,,,,,,,,,,,,,,,,67448240.48,24730300.49,147357.99,24582942.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083174381.8,,,,,,1083174381.8
Dotação Inicial,21,MA,Maranhão,1192000287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192000287.0,,,,,,,,,,,82021944.0,,,,,,,,,,,,,,,82021944.0,,,82021944.0,,,,6150000.0,,,,,,,,,,6150000.0,,,,,,,,,1103828343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103828343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24086005.0,24086005.0,,,,,,,,9250000.0,,,,150000.0,,,,,,,,14686005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14686005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216086292.0,,,,,,1216086292.0
