Categoria,COD. ESTADO,UF,ESTADO,c3.0.00.00.00.00,c3.1.00.00.00.00,c3.1.30.00.00.00,c3.1.35.00.00.00,c3.1.36.00.00.00,c3.1.45.00.00.00,c3.1.46.00.00.00,c3.1.70.00.00.00,c3.1.71.00.00.00,c3.1.73.00.00.00,c3.1.74.00.00.00,c3.1.75.00.00.00,c3.1.76.00.00.00,c3.1.90.00.00.00,c3.1.90.01.00.00,c3.1.90.03.00.00,c3.1.90.04.00.00,c3.1.90.04.01.00,c3.1.90.04.99.00,c3.1.90.05.00.00,c3.1.90.07.00.00,c3.1.90.11.00.00,c3.1.90.11.01.00,c3.1.90.11.99.00,c3.1.90.12.00.00,c3.1.90.13.00.00,c3.1.90.16.00.00,c3.1.90.17.00.00,c3.1.90.91.00.00,c3.1.90.92.00.00,c3.1.90.92.01.00,c3.1.90.92.03.00,c3.1.90.92.04.00,c3.1.90.92.05.00,c3.1.90.92.07.00,c3.1.90.92.11.00,c3.1.90.92.12.00,c3.1.90.92.13.00,c3.1.90.92.16.00,c3.1.90.92.17.00,c3.1.90.92.91.00,c3.1.90.92.94.00,c3.1.90.92.96.00,c3.1.90.92.99.00,c3.1.90.94.00.00,c3.1.90.94.01.00,c3.1.90.94.02.00,c3.1.90.94.03.00,c3.1.90.94.04.00,c3.1.90.94.06.00,c3.1.90.94.13.00,c3.1.90.94.99.00,c3.1.90.96.00.00,c3.1.90.99.00.00,c3.1.91.00.00.00,c3.1.91.04.00.00,c3.1.91.13.00.00,c3.1.91.91.00.00,c3.1.91.94.00.00,c3.1.91.96.00.00,c3.1.91.99.00.00,c3.1.95.00.00.00,c3.1.96.00.00.00,c3.1.99.00.00.00,c3.2.00.00.00.00,c3.2.71.00.00.00,c3.2.73.00.00.00,c3.2.74.00.00.00,c3.2.90.00.00.00,c3.2.95.00.00.00,c3.2.96.00.00.00,c3.2.99.00.00.00,c3.3.00.00.00.00,c3.3.20.00.00.00,c3.3.30.00.00.00,c3.3.30.30.00.00,c3.3.30.30.01.00,c3.3.30.30.99.00,c3.3.30.99.00.00,c3.3.31.00.00.00,c3.3.32.00.00.00,c3.3.35.00.00.00,c3.3.36.00.00.00,c3.3.40.00.00.00,c3.3.40.30.00.00,c3.3.40.30.01.00,c3.3.40.30.99.00,c3.3.40.41.00.00,c3.3.40.81.00.00,c3.3.40.81.51.00,c3.3.40.81.52.00,c3.3.40.81.53.00,c3.3.40.81.54.00,c3.3.40.81.99.00,c3.3.40.91.00.00,c3.3.40.92.00.00,c3.3.40.93.00.00,c3.3.40.99.00.00,c3.3.41.00.00.00,c3.3.41.41.00.00,c3.3.41.92.00.00,c3.3.41.99.00.00,c3.3.42.00.00.00,c3.3.45.00.00.00,c3.3.46.00.00.00,c3.3.50.00.00.00,c3.3.50.39.00.00,c3.3.50.39.36.00,c3.3.50.39.36.01,c3.3.50.39.36.02,c3.3.50.39.36.03,c3.3.50.39.36.99,c3.3.50.39.50.00,c3.3.50.41.00.00,c3.3.50.43.00.00,c3.3.50.99.00.00,c3.3.60.00.00.00,c3.3.70.00.00.00,c3.3.71.00.00.00,c3.3.72.00.00.00,c3.3.73.00.00.00,c3.3.74.00.00.00,c3.3.75.00.00.00,c3.3.76.00.00.00,c3.3.90.00.00.00,c3.3.90.04.00.00,c3.3.90.04.01.00,c3.3.90.04.01.99,c3.3.90.04.99.00,c3.3.90.08.00.00,c3.3.90.14.00.00,c3.3.90.15.00.00,c3.3.90.18.00.00,c3.3.90.19.00.00,c3.3.90.20.00.00,c3.3.90.30.00.00,c3.3.90.30.01.00,c3.3.90.30.09.00,c3.3.90.30.09.01,c3.3.90.30.09.02,c3.3.90.30.10.00,c3.3.90.30.11.00,c3.3.90.30.16.00,c3.3.90.30.17.00,c3.3.90.30.20.00,c3.3.90.30.21.00,c3.3.90.30.23.00,c3.3.90.30.28.00,c3.3.90.30.35.00,c3.3.90.30.36.00,c3.3.90.30.36.01,c3.3.90.30.36.02,c3.3.90.30.39.00,c3.3.90.30.99.00,c3.3.90.31.00.00,c3.3.90.32.00.00,c3.3.90.33.00.00,c3.3.90.34.00.00,c3.3.90.34.01.00,c3.3.90.35.00.00,c3.3.90.36.00.00,c3.3.90.36.08.00,c3.3.90.36.30.00,c3.3.90.36.99.00,c3.3.90.37.00.00,c3.3.90.38.00.00,c3.3.90.39.00.00,c3.3.90.39.17.00,c3.3.90.39.43.00,c3.3.90.39.44.00,c3.3.90.39.47.00,c3.3.90.39.50.00,c3.3.90.39.50.01,c3.3.90.39.50.02,c3.3.90.39.50.99,c3.3.90.39.99.00,c3.3.90.41.00.00,c3.3.90.46.00.00,c3.3.90.47.00.00,c3.3.90.48.00.00,c3.3.90.48.06.00,c3.3.90.48.07.00,c3.3.90.48.99.00,c3.3.90.49.00.00,c3.3.90.67.00.00,c3.3.90.83.00.00,c3.3.90.91.00.00,c3.3.90.92.00.00,c3.3.90.93.00.00,c3.3.90.95.00.00,c3.3.90.96.00.00,c3.3.90.99.00.00,c3.3.91.00.00.00,c3.3.91.04.00.00,c3.3.91.30.00.00,c3.3.91.30.09.00,c3.3.91.30.10.00,c3.3.91.30.35.00,c3.3.91.30.36.00,c3.3.91.30.99.00,c3.3.91.32.00.00,c3.3.91.39.00.00,c3.3.91.39.17.00,c3.3.91.39.50.00,c3.3.91.47.00.00,c3.3.91.91.00.00,c3.3.91.92.00.00,c3.3.91.93.00.00,c3.3.91.96.00.00,c3.3.91.97.00.00,c3.3.91.99.00.00,c3.3.93.00.00.00,c3.3.93.30.00.00,c3.3.93.32.00.00,c3.3.93.39.00.00,c3.3.94.00.00.00,c3.3.94.30.00.00,c3.3.94.32.00.00,c3.3.94.39.00.00,c3.3.95.00.00.00,c3.3.96.00.00.00,c3.3.99.00.00.00,c4.0.00.00.00.00,c4.4.00.00.00.00,c4.4.20.00.00.00,c4.4.30.00.00.00,c4.4.31.00.00.00,c4.4.32.00.00.00,c4.4.35.00.00.00,c4.4.36.00.00.00,c4.4.40.00.00.00,c4.4.41.00.00.00,c4.4.42.00.00.00,c4.4.45.00.00.00,c4.4.46.00.00.00,c4.4.50.00.00.00,c4.4.70.00.00.00,c4.4.71.00.00.00,c4.4.72.00.00.00,c4.4.73.00.00.00,c4.4.74.00.00.00,c4.4.75.00.00.00,c4.4.76.00.00.00,c4.4.90.00.00.00,c4.4.90.04.00.00,c4.4.90.04.02.00,c4.4.90.04.08.00,c4.4.90.14.00.00,c4.4.90.15.00.00,c4.4.90.17.00.00,c4.4.90.18.00.00,c4.4.90.20.00.00,c4.4.90.30.00.00,c4.4.90.30.09.00,c4.4.90.30.10.00,c4.4.90.30.35.00,c4.4.90.30.36.00,c4.4.90.30.99.00,c4.4.90.33.00.00,c4.4.90.35.00.00,c4.4.90.36.00.00,c4.4.90.36.30.00,c4.4.90.36.99.00,c4.4.90.39.00.00,c4.4.90.47.00.00,c4.4.90.51.00.00,c4.4.90.52.00.00,c4.4.90.52.08.00,c4.4.90.52.99.00,c4.4.90.61.00.00,c4.4.90.91.00.00,c4.4.90.92.00.00,c4.4.90.93.00.00,c4.4.90.99.00.00,c4.4.91.00.00.00,c4.4.91.39.00.00,c4.4.91.51.00.00,c4.4.91.52.00.00,c4.4.91.52.08.00,c4.4.91.52.99.00,c4.4.91.91.00.00,c4.4.91.99.00.00,c4.4.95.00.00.00,c4.4.96.00.00.00,c4.4.99.00.00.00,c4.5.00.00.00.00,c4.5.20.00.00.00,c4.5.35.00.00.00,c4.5.36.00.00.00,c4.5.40.00.00.00,c4.5.42.00.00.00,c4.5.45.00.00.00,c4.5.46.00.00.00,c4.5.70.00.00.00,c4.5.71.00.00.00,c4.5.72.00.00.00,c4.5.73.00.00.00,c4.5.74.00.00.00,c4.5.90.00.00.00,c4.5.90.61.00.00,c4.5.90.62.00.00,c4.5.90.63.00.00,c4.5.90.64.00.00,c4.5.90.65.00.00,c4.5.90.66.00.00,c4.5.90.67.00.00,c4.5.90.82.00.00,c4.5.90.83.00.00,c4.5.90.91.00.00,c4.5.90.92.00.00,c4.5.90.93.00.00,c4.5.90.99.00.00,c4.5.91.00.00.00,c4.5.91.61.00.00,c4.5.91.91.00.00,c4.5.91.92.00.00,c4.5.91.99.00.00,c4.5.99.00.00.00,c4.6.00.00.00.00,c4.6.35.00.00.00,c4.6.36.00.00.00,c4.6.45.00.00.00,c4.6.46.00.00.00,c4.6.71.00.00.00,c4.6.73.00.00.00,c4.6.74.00.00.00,c4.6.90.00.00.00,c4.6.99.00.00.00,cACDO000001,cACDO000002,cACDO000003,cACDO000004,cACDO000005,cACDO000006,cACDO000007
Dotação Inicial,12,AC,Acre,254064965.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254064965.22,,,,,,,,,,,5569546.0,,,,,,,,,,,,,,,5569546.0,,5569546.0,,,,,31475480.96,,,,,,,,,31475480.96,,,,,,,,,,167007818.5,41000.0,41000.0,41000.0,,5000.0,149312.5,,,,,92762123.0,,,,,,,,,,,,,,,,,,92762123.0,,50000.0,11110450.0,,,,300000.0,,,300000.0,,,47097560.24,,,,,,,,,47097560.24,,,,500000.0,,,500000.0,,,,1820000.0,13172372.76,,,,,50012119.76,,,,,,,,,50012119.76,,50012119.76,,,,,,,,,,,,,,,,,,,16974000.0,16974000.0,,,,,,,,,,,,,,,,,,,,16974000.0,,,,,,,,,,,,,,,,,,,,,,2800000.0,11364000.0,,11364000.0,,10000.0,2800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271038965.22,,,,,,271038965.22
Dotação Inicial,27,AL,Alagoas,228356609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228356609.0,,,,,,,,,,,2039297.0,,,,,,,,,,,,,,,2039297.0,2039297.0,,,,,,8512500.0,,,,,,,,8512500.0,,,,,,,,,,,217774812.0,,,,,,290658.0,,,,,49444091.0,,,,,,,,,,,,,,,,,,49444091.0,,885000.0,7170100.0,,,,64030726.0,,,64030726.0,21940276.0,,59399234.0,,,,,,,,,59399234.0,,,13114727.0,1500000.0,,,1500000.0,,,,,,,,,,30000.0,,,,,,,,,,,,30000.0,,,,,,,,,,,,,,,,,,8879828.0,8879828.0,,,,,,,,,,,,,,,,,,,,8879828.0,,,,,,,,,,,,,,,,,,,,,,,8879828.0,,8879828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237236437.0,,,,,,237236437.0
Dotação Inicial,16,AP,Amapá ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,13,AM,Amazonas,366030500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366030500.0,,,,,,,,,,,35770200.0,,,,,,,,,,,,,,,35770200.0,35770200.0,,,,,,28043600.0,,,,,,,,28043600.0,,,,,,,,,,,302216700.0,,,,,,60000.0,,599500.0,,,24595900.0,,,,,,,,,,,,,,,,,,24595900.0,,720000.0,10256000.0,,,1636500.0,1884000.0,,,1884000.0,32330500.0,,224360200.0,,,,224360200.0,,,,,,,,,5774100.0,,,5774100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369030500.0,,,,,,369030500.0
Dotação Inicial,29,BA,Bahia,1251937000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251937000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222537000.0,,,,,,,,,,,24456000.0,,20000000.0,,20000000.0,,,,,,,,,,,,,,4456000.0,,,,,,,,,,,,,1196187000.0,,,216866.0,90449.2,1179436301.44,,,1179436301.44,16443383.36,,,,1894000.0,,,1894000.0,,,,,,,,,,29400000.0,,,,,,,,,29400000.0,,29400000.0,,,,,,,,,,,,,,,,,,,9291000.0,9291000.0,,,,,,,,,,,,,,,,,,,,9291000.0,,,,,,,,,,,,,,,,,,,,,,2420000.0,6871000.0,,6871000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261228000.0,,,,,,1261228000.0
Dotação Inicial,23,CE,Ceará,555575332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555575332.0,,,,,,,,,,,4590000.0,,,,,,,,,,,,,,,4590000.0,4590000.0,,,,,,208864313.0,208789313.0,208789313.0,,,,208789313.0,,75000.0,,,,,23462400.0,,,,,,318591619.0,,,,,3958320.0,251415.0,,,,,119800149.0,,,,,,,,,,,,,,,,,,119800149.0,1000.0,20986236.0,4513486.0,47437084.0,47437084.0,129288.0,564768.0,,,564768.0,14747348.0,,106033166.0,,,,,,,,,106033166.0,,,99759.0,,,,,,,,,,69600.0,,,,67000.0,,,,,,,,,,,,67000.0,,,,,,,,,,,,,,,,,,46548415.0,46548415.0,,,,,,,,,,,,,,,,,,,,46548415.0,,,,,,,,,,,,,,,,,,,,300000.0,,14647789.0,31482693.0,,31482693.0,,,117933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602123747.0,,,,,,602123747.0
Dotação Inicial,53,DF,Distrito Federal,371723336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371723336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20010000.0,,,,,,,,,,20010000.0,,,,,,,,,351713336.0,,,,,,49000.0,,,,,131679997.0,,,,,,,,,,,,,,,,,,131679997.0,,544650.0,75400.0,,,,1224805.0,,,1224805.0,,,218139484.0,,,,,,,,,218139484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33623317.0,33623317.0,,,,,,,,,,,,,,,,,,,,33623317.0,,,,,,,,,,,,,,,,,,,,,,560000.0,33063317.0,,33063317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405346653.0,,,,,,405346653.0
Dotação Inicial,32,ES,Espírito Santo,619189000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619189000.0,3800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406390600.0,406390600.0,406390600.0,,,,406390600.0,,,,,,,,,,,,,207523400.0,,,,,,20000.0,,,,,52737632.0,1237.23,11475589.24,11475589.24,,13159.15,3580115.26,235441.45,60306.74,123157.31,30682.76,295671.4,54464.64,3932796.29,15857326.5,,15857326.5,10678.27,17067005.77,,4391614.0,3658716.0,,,,,,,,,,144085223.0,2223779.47,32275.58,,,27632106.44,,,27632106.44,114197061.5,,,,1579215.0,,,1579215.0,,,,,1051000.0,,,,,1460000.0,,,,,,,,,1460000.0,,1460000.0,,,,,,,,,,,,,,,,15000.0,,,6078000.0,6078000.0,,,,,,,,,,,,,,,,,,,,6078000.0,,,,,,,,,,,,,,,,,,,,,,,6078000.0,5373455.82,704544.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625267000.0,625267000.0,,,,,625267000.0
Dotação Inicial,52,GO,Goiás,117265542.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117265542.02,,62.28,62.28,62.28,,,,,,,4863336.67,,,,,,,,,,,,,,,4863336.67,4863336.67,,,,,,226479.8,,,,,,,,,,226479.8,,,,,,,,,112175663.27,,,,,,889584.36,,,,,3021983.64,,2617.52,2617.52,,44749.33,,,,,,,,2407252.18,230971.4,,230971.4,,336393.21,,,2569962.47,,,,,,,,7197015.57,,97270546.36,17400.49,51219.63,,,56813804.34,56813804.34,,,40388121.9,,,10524.92,204600.5,,,204600.5,,,,,1011445.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12751805.88,12751805.88,,,,,,,,,,,,,,,,,,,,12751805.88,,,,,,,,,,,,,,,,,,,,,,4591058.86,8160747.02,189387.48,7971359.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130017347.9,,,,,,130017347.9
Dotação Inicial,21,MA,Maranhão,304877108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304877108.0,,,,,,,,,,,7506142.0,,,,,,,,,,,,,,,7506142.0,,,7506142.0,,,,5700000.0,,,,,,,,,,5700000.0,,,,,,,,,291670966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291670966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304877108.0,,,,,,304877108.0
