Categoria,Categoria_num,COD. ESTADO,UF,ESTADO,c3.0.00.00.00.00,c3.1.00.00.00.00,c3.1.30.00.00.00,c3.1.35.00.00.00,c3.1.36.00.00.00,c3.1.45.00.00.00,c3.1.46.00.00.00,c3.1.70.00.00.00,c3.1.71.00.00.00,c3.1.73.00.00.00,c3.1.74.00.00.00,c3.1.75.00.00.00,c3.1.76.00.00.00,c3.1.90.00.00.00,c3.1.90.01.00.00,c3.1.90.03.00.00,c3.1.90.04.00.00,c3.1.90.04.01.00,c3.1.90.04.99.00,c3.1.90.05.00.00,c3.1.90.07.00.00,c3.1.90.11.00.00,c3.1.90.11.01.00,c3.1.90.11.99.00,c3.1.90.12.00.00,c3.1.90.13.00.00,c3.1.90.16.00.00,c3.1.90.17.00.00,c3.1.90.91.00.00,c3.1.90.92.00.00,c3.1.90.92.01.00,c3.1.90.92.03.00,c3.1.90.92.04.00,c3.1.90.92.05.00,c3.1.90.92.07.00,c3.1.90.92.11.00,c3.1.90.92.12.00,c3.1.90.92.13.00,c3.1.90.92.16.00,c3.1.90.92.17.00,c3.1.90.92.91.00,c3.1.90.92.94.00,c3.1.90.92.96.00,c3.1.90.92.99.00,c3.1.90.94.00.00,c3.1.90.94.01.00,c3.1.90.94.02.00,c3.1.90.94.03.00,c3.1.90.94.04.00,c3.1.90.94.06.00,c3.1.90.94.13.00,c3.1.90.94.99.00,c3.1.90.96.00.00,c3.1.90.99.00.00,c3.1.91.00.00.00,c3.1.91.04.00.00,c3.1.91.13.00.00,c3.1.91.91.00.00,c3.1.91.94.00.00,c3.1.91.96.00.00,c3.1.91.99.00.00,c3.1.95.00.00.00,c3.1.96.00.00.00,c3.1.99.00.00.00,c3.2.00.00.00.00,c3.2.71.00.00.00,c3.2.73.00.00.00,c3.2.74.00.00.00,c3.2.90.00.00.00,c3.2.95.00.00.00,c3.2.96.00.00.00,c3.2.99.00.00.00,c3.3.00.00.00.00,c3.3.20.00.00.00,c3.3.30.00.00.00,c3.3.30.30.00.00,c3.3.30.30.01.00,c3.3.30.30.99.00,c3.3.30.99.00.00,c3.3.31.00.00.00,c3.3.32.00.00.00,c3.3.35.00.00.00,c3.3.36.00.00.00,c3.3.40.00.00.00,c3.3.40.30.00.00,c3.3.40.30.01.00,c3.3.40.30.99.00,c3.3.40.41.00.00,c3.3.40.81.00.00,c3.3.40.81.51.00,c3.3.40.81.52.00,c3.3.40.81.53.00,c3.3.40.81.54.00,c3.3.40.81.99.00,c3.3.40.91.00.00,c3.3.40.92.00.00,c3.3.40.93.00.00,c3.3.40.99.00.00,c3.3.41.00.00.00,c3.3.41.41.00.00,c3.3.41.92.00.00,c3.3.41.99.00.00,c3.3.42.00.00.00,c3.3.45.00.00.00,c3.3.46.00.00.00,c3.3.50.00.00.00,c3.3.50.39.00.00,c3.3.50.39.36.00,c3.3.50.39.36.01,c3.3.50.39.36.02,c3.3.50.39.36.03,c3.3.50.39.36.99,c3.3.50.39.50.00,c3.3.50.41.00.00,c3.3.50.43.00.00,c3.3.50.99.00.00,c3.3.60.00.00.00,c3.3.70.00.00.00,c3.3.71.00.00.00,c3.3.72.00.00.00,c3.3.73.00.00.00,c3.3.74.00.00.00,c3.3.75.00.00.00,c3.3.76.00.00.00,c3.3.90.00.00.00,c3.3.90.04.00.00,c3.3.90.04.01.00,c3.3.90.04.01.99,c3.3.90.04.99.00,c3.3.90.08.00.00,c3.3.90.14.00.00,c3.3.90.15.00.00,c3.3.90.18.00.00,c3.3.90.19.00.00,c3.3.90.20.00.00,c3.3.90.30.00.00,c3.3.90.30.01.00,c3.3.90.30.09.00,c3.3.90.30.09.01,c3.3.90.30.09.02,c3.3.90.30.10.00,c3.3.90.30.11.00,c3.3.90.30.16.00,c3.3.90.30.17.00,c3.3.90.30.20.00,c3.3.90.30.21.00,c3.3.90.30.23.00,c3.3.90.30.28.00,c3.3.90.30.35.00,c3.3.90.30.36.00,c3.3.90.30.36.01,c3.3.90.30.36.02,c3.3.90.30.39.00,c3.3.90.30.99.00,c3.3.90.31.00.00,c3.3.90.32.00.00,c3.3.90.33.00.00,c3.3.90.34.00.00,c3.3.90.34.01.00,c3.3.90.35.00.00,c3.3.90.36.00.00,c3.3.90.36.08.00,c3.3.90.36.30.00,c3.3.90.36.99.00,c3.3.90.37.00.00,c3.3.90.38.00.00,c3.3.90.39.00.00,c3.3.90.39.17.00,c3.3.90.39.43.00,c3.3.90.39.44.00,c3.3.90.39.47.00,c3.3.90.39.50.00,c3.3.90.39.50.01,c3.3.90.39.50.02,c3.3.90.39.50.99,c3.3.90.39.99.00,c3.3.90.41.00.00,c3.3.90.46.00.00,c3.3.90.47.00.00,c3.3.90.48.00.00,c3.3.90.48.06.00,c3.3.90.48.07.00,c3.3.90.48.99.00,c3.3.90.49.00.00,c3.3.90.67.00.00,c3.3.90.83.00.00,c3.3.90.91.00.00,c3.3.90.92.00.00,c3.3.90.93.00.00,c3.3.90.95.00.00,c3.3.90.96.00.00,c3.3.90.99.00.00,c3.3.91.00.00.00,c3.3.91.04.00.00,c3.3.91.30.00.00,c3.3.91.30.09.00,c3.3.91.30.10.00,c3.3.91.30.35.00,c3.3.91.30.36.00,c3.3.91.30.99.00,c3.3.91.32.00.00,c3.3.91.39.00.00,c3.3.91.39.17.00,c3.3.91.39.50.00,c3.3.91.47.00.00,c3.3.91.91.00.00,c3.3.91.92.00.00,c3.3.91.93.00.00,c3.3.91.96.00.00,c3.3.91.97.00.00,c3.3.91.99.00.00,c3.3.93.00.00.00,c3.3.93.30.00.00,c3.3.93.32.00.00,c3.3.93.39.00.00,c3.3.94.00.00.00,c3.3.94.30.00.00,c3.3.94.32.00.00,c3.3.94.39.00.00,c3.3.95.00.00.00,c3.3.96.00.00.00,c3.3.99.00.00.00,c4.0.00.00.00.00,c4.4.00.00.00.00,c4.4.20.00.00.00,c4.4.30.00.00.00,c4.4.31.00.00.00,c4.4.32.00.00.00,c4.4.35.00.00.00,c4.4.36.00.00.00,c4.4.40.00.00.00,c4.4.41.00.00.00,c4.4.42.00.00.00,c4.4.45.00.00.00,c4.4.46.00.00.00,c4.4.50.00.00.00,c4.4.70.00.00.00,c4.4.71.00.00.00,c4.4.72.00.00.00,c4.4.73.00.00.00,c4.4.74.00.00.00,c4.4.75.00.00.00,c4.4.76.00.00.00,c4.4.90.00.00.00,c4.4.90.04.00.00,c4.4.90.04.02.00,c4.4.90.04.08.00,c4.4.90.14.00.00,c4.4.90.15.00.00,c4.4.90.17.00.00,c4.4.90.18.00.00,c4.4.90.20.00.00,c4.4.90.30.00.00,c4.4.90.30.09.00,c4.4.90.30.10.00,c4.4.90.30.35.00,c4.4.90.30.36.00,c4.4.90.30.99.00,c4.4.90.33.00.00,c4.4.90.35.00.00,c4.4.90.36.00.00,c4.4.90.36.30.00,c4.4.90.36.99.00,c4.4.90.39.00.00,c4.4.90.47.00.00,c4.4.90.51.00.00,c4.4.90.52.00.00,c4.4.90.52.08.00,c4.4.90.52.99.00,c4.4.90.61.00.00,c4.4.90.91.00.00,c4.4.90.92.00.00,c4.4.90.93.00.00,c4.4.90.99.00.00,c4.4.91.00.00.00,c4.4.91.39.00.00,c4.4.91.51.00.00,c4.4.91.52.00.00,c4.4.91.52.08.00,c4.4.91.52.99.00,c4.4.91.91.00.00,c4.4.91.99.00.00,c4.4.95.00.00.00,c4.4.96.00.00.00,c4.4.99.00.00.00,c4.5.00.00.00.00,c4.5.20.00.00.00,c4.5.35.00.00.00,c4.5.36.00.00.00,c4.5.40.00.00.00,c4.5.42.00.00.00,c4.5.45.00.00.00,c4.5.46.00.00.00,c4.5.70.00.00.00,c4.5.71.00.00.00,c4.5.72.00.00.00,c4.5.73.00.00.00,c4.5.74.00.00.00,c4.5.90.00.00.00,c4.5.90.61.00.00,c4.5.90.62.00.00,c4.5.90.63.00.00,c4.5.90.64.00.00,c4.5.90.65.00.00,c4.5.90.66.00.00,c4.5.90.67.00.00,c4.5.90.82.00.00,c4.5.90.83.00.00,c4.5.90.91.00.00,c4.5.90.92.00.00,c4.5.90.93.00.00,c4.5.90.99.00.00,c4.5.91.00.00.00,c4.5.91.61.00.00,c4.5.91.91.00.00,c4.5.91.92.00.00,c4.5.91.99.00.00,c4.5.99.00.00.00,c4.6.00.00.00.00,c4.6.35.00.00.00,c4.6.36.00.00.00,c4.6.45.00.00.00,c4.6.46.00.00.00,c4.6.71.00.00.00,c4.6.73.00.00.00,c4.6.74.00.00.00,c4.6.90.00.00.00,c4.6.99.00.00.00,cACDO000001,cACDO000002,cACDO000003,cACDO000004,cACDO000005,cACDO000006,cACDO000007
Dotação Inicial,1,12,AC,Acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13579000.0,13579000.0,,,,,,,,,,,,,,,,,,,,13579000.0,,,,620000.0,,,,,670000.0,,,,,670000.0,350000.0,,60000.0,,60000.0,180000.0,,5000000.0,6569000.0,,6569000.0,,,100000.0,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13579000.0,,,,,,13579000.0
Dotação Inicial,1,27,AL,Alagoas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,1,16,AP,Amapá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,1,13,AM,Amazonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,1,29,BA,Bahia,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160100000.0,160100000.0,,,,,,,,,,,,,,,,,,,,160100000.0,,,,,,,,,,,,,,,,,,,,,,103100000.0,57000000.0,,57000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162100000.0,,,,,,162100000.0
Dotação Inicial,1,23,CE,Ceará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277852525.0,277852525.0,,,,,,,,,,,,,,,,,,,,277852525.0,,,,,,,,,,,,,,,,19661367.0,,,,3492545.0,,114017449.0,140681164.0,,140681164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277852525.0,,,,,,277852525.0
Dotação Inicial,1,53,DF,Distrito Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,1,32,ES,Espírito Santo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,,,1500000.0,,6500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,8000000.0,,,,,8000000.0
Dotação Inicial,1,52,GO,Goiás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,1,21,MA,Maranhão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66509000.0,66509000.0,,,,,,,,,,,,,,,,,,,,66509000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66509000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66509000.0,,,,,,66509000.0
Dotação Inicial,1,51,MT,Mato Grosso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
