Categoria,Categoria_num,COD. ESTADO,UF,ESTADO,c3.0.00.00.00.00,c3.1.00.00.00.00,c3.1.30.00.00.00,c3.1.35.00.00.00,c3.1.36.00.00.00,c3.1.45.00.00.00,c3.1.46.00.00.00,c3.1.70.00.00.00,c3.1.71.00.00.00,c3.1.73.00.00.00,c3.1.74.00.00.00,c3.1.75.00.00.00,c3.1.76.00.00.00,c3.1.90.00.00.00,c3.1.90.01.00.00,c3.1.90.03.00.00,c3.1.90.04.00.00,c3.1.90.04.01.00,c3.1.90.04.99.00,c3.1.90.05.00.00,c3.1.90.07.00.00,c3.1.90.11.00.00,c3.1.90.11.01.00,c3.1.90.11.99.00,c3.1.90.12.00.00,c3.1.90.13.00.00,c3.1.90.16.00.00,c3.1.90.17.00.00,c3.1.90.91.00.00,c3.1.90.92.00.00,c3.1.90.92.01.00,c3.1.90.92.03.00,c3.1.90.92.04.00,c3.1.90.92.05.00,c3.1.90.92.07.00,c3.1.90.92.11.00,c3.1.90.92.12.00,c3.1.90.92.13.00,c3.1.90.92.16.00,c3.1.90.92.17.00,c3.1.90.92.91.00,c3.1.90.92.94.00,c3.1.90.92.96.00,c3.1.90.92.99.00,c3.1.90.94.00.00,c3.1.90.94.01.00,c3.1.90.94.02.00,c3.1.90.94.03.00,c3.1.90.94.04.00,c3.1.90.94.06.00,c3.1.90.94.13.00,c3.1.90.94.99.00,c3.1.90.96.00.00,c3.1.90.99.00.00,c3.1.91.00.00.00,c3.1.91.04.00.00,c3.1.91.13.00.00,c3.1.91.91.00.00,c3.1.91.94.00.00,c3.1.91.96.00.00,c3.1.91.99.00.00,c3.1.95.00.00.00,c3.1.96.00.00.00,c3.1.99.00.00.00,c3.2.00.00.00.00,c3.2.71.00.00.00,c3.2.73.00.00.00,c3.2.74.00.00.00,c3.2.90.00.00.00,c3.2.95.00.00.00,c3.2.96.00.00.00,c3.2.99.00.00.00,c3.3.00.00.00.00,c3.3.20.00.00.00,c3.3.30.00.00.00,c3.3.30.30.00.00,c3.3.30.30.01.00,c3.3.30.30.99.00,c3.3.30.99.00.00,c3.3.31.00.00.00,c3.3.32.00.00.00,c3.3.35.00.00.00,c3.3.36.00.00.00,c3.3.40.00.00.00,c3.3.40.30.00.00,c3.3.40.30.01.00,c3.3.40.30.99.00,c3.3.40.41.00.00,c3.3.40.81.00.00,c3.3.40.81.51.00,c3.3.40.81.52.00,c3.3.40.81.53.00,c3.3.40.81.54.00,c3.3.40.81.99.00,c3.3.40.91.00.00,c3.3.40.92.00.00,c3.3.40.93.00.00,c3.3.40.99.00.00,c3.3.41.00.00.00,c3.3.41.41.00.00,c3.3.41.92.00.00,c3.3.41.99.00.00,c3.3.42.00.00.00,c3.3.45.00.00.00,c3.3.46.00.00.00,c3.3.50.00.00.00,c3.3.50.39.00.00,c3.3.50.39.36.00,c3.3.50.39.36.01,c3.3.50.39.36.02,c3.3.50.39.36.03,c3.3.50.39.36.99,c3.3.50.39.50.00,c3.3.50.41.00.00,c3.3.50.43.00.00,c3.3.50.99.00.00,c3.3.60.00.00.00,c3.3.70.00.00.00,c3.3.71.00.00.00,c3.3.72.00.00.00,c3.3.73.00.00.00,c3.3.74.00.00.00,c3.3.75.00.00.00,c3.3.76.00.00.00,c3.3.90.00.00.00,c3.3.90.04.00.00,c3.3.90.04.01.00,c3.3.90.04.01.99,c3.3.90.04.99.00,c3.3.90.08.00.00,c3.3.90.14.00.00,c3.3.90.15.00.00,c3.3.90.18.00.00,c3.3.90.19.00.00,c3.3.90.20.00.00,c3.3.90.30.00.00,c3.3.90.30.01.00,c3.3.90.30.09.00,c3.3.90.30.09.01,c3.3.90.30.09.02,c3.3.90.30.10.00,c3.3.90.30.11.00,c3.3.90.30.16.00,c3.3.90.30.17.00,c3.3.90.30.20.00,c3.3.90.30.21.00,c3.3.90.30.23.00,c3.3.90.30.28.00,c3.3.90.30.35.00,c3.3.90.30.36.00,c3.3.90.30.36.01,c3.3.90.30.36.02,c3.3.90.30.39.00,c3.3.90.30.99.00,c3.3.90.31.00.00,c3.3.90.32.00.00,c3.3.90.33.00.00,c3.3.90.34.00.00,c3.3.90.34.01.00,c3.3.90.35.00.00,c3.3.90.36.00.00,c3.3.90.36.08.00,c3.3.90.36.30.00,c3.3.90.36.99.00,c3.3.90.37.00.00,c3.3.90.38.00.00,c3.3.90.39.00.00,c3.3.90.39.17.00,c3.3.90.39.43.00,c3.3.90.39.44.00,c3.3.90.39.47.00,c3.3.90.39.50.00,c3.3.90.39.50.01,c3.3.90.39.50.02,c3.3.90.39.50.99,c3.3.90.39.99.00,c3.3.90.41.00.00,c3.3.90.46.00.00,c3.3.90.47.00.00,c3.3.90.48.00.00,c3.3.90.48.06.00,c3.3.90.48.07.00,c3.3.90.48.99.00,c3.3.90.49.00.00,c3.3.90.67.00.00,c3.3.90.83.00.00,c3.3.90.91.00.00,c3.3.90.92.00.00,c3.3.90.93.00.00,c3.3.90.95.00.00,c3.3.90.96.00.00,c3.3.90.99.00.00,c3.3.91.00.00.00,c3.3.91.04.00.00,c3.3.91.30.00.00,c3.3.91.30.09.00,c3.3.91.30.10.00,c3.3.91.30.35.00,c3.3.91.30.36.00,c3.3.91.30.99.00,c3.3.91.32.00.00,c3.3.91.39.00.00,c3.3.91.39.17.00,c3.3.91.39.50.00,c3.3.91.47.00.00,c3.3.91.91.00.00,c3.3.91.92.00.00,c3.3.91.93.00.00,c3.3.91.96.00.00,c3.3.91.97.00.00,c3.3.91.99.00.00,c3.3.93.00.00.00,c3.3.93.30.00.00,c3.3.93.32.00.00,c3.3.93.39.00.00,c3.3.94.00.00.00,c3.3.94.30.00.00,c3.3.94.32.00.00,c3.3.94.39.00.00,c3.3.95.00.00.00,c3.3.96.00.00.00,c3.3.99.00.00.00,c4.0.00.00.00.00,c4.4.00.00.00.00,c4.4.20.00.00.00,c4.4.30.00.00.00,c4.4.31.00.00.00,c4.4.32.00.00.00,c4.4.35.00.00.00,c4.4.36.00.00.00,c4.4.40.00.00.00,c4.4.41.00.00.00,c4.4.42.00.00.00,c4.4.45.00.00.00,c4.4.46.00.00.00,c4.4.50.00.00.00,c4.4.70.00.00.00,c4.4.71.00.00.00,c4.4.72.00.00.00,c4.4.73.00.00.00,c4.4.74.00.00.00,c4.4.75.00.00.00,c4.4.76.00.00.00,c4.4.90.00.00.00,c4.4.90.04.00.00,c4.4.90.04.02.00,c4.4.90.04.08.00,c4.4.90.14.00.00,c4.4.90.15.00.00,c4.4.90.17.00.00,c4.4.90.18.00.00,c4.4.90.20.00.00,c4.4.90.30.00.00,c4.4.90.30.09.00,c4.4.90.30.10.00,c4.4.90.30.35.00,c4.4.90.30.36.00,c4.4.90.30.99.00,c4.4.90.33.00.00,c4.4.90.35.00.00,c4.4.90.36.00.00,c4.4.90.36.30.00,c4.4.90.36.99.00,c4.4.90.39.00.00,c4.4.90.47.00.00,c4.4.90.51.00.00,c4.4.90.52.00.00,c4.4.90.52.08.00,c4.4.90.52.99.00,c4.4.90.61.00.00,c4.4.90.91.00.00,c4.4.90.92.00.00,c4.4.90.93.00.00,c4.4.90.99.00.00,c4.4.91.00.00.00,c4.4.91.39.00.00,c4.4.91.51.00.00,c4.4.91.52.00.00,c4.4.91.52.08.00,c4.4.91.52.99.00,c4.4.91.91.00.00,c4.4.91.99.00.00,c4.4.95.00.00.00,c4.4.96.00.00.00,c4.4.99.00.00.00,c4.5.00.00.00.00,c4.5.20.00.00.00,c4.5.35.00.00.00,c4.5.36.00.00.00,c4.5.40.00.00.00,c4.5.42.00.00.00,c4.5.45.00.00.00,c4.5.46.00.00.00,c4.5.70.00.00.00,c4.5.71.00.00.00,c4.5.72.00.00.00,c4.5.73.00.00.00,c4.5.74.00.00.00,c4.5.90.00.00.00,c4.5.90.61.00.00,c4.5.90.62.00.00,c4.5.90.63.00.00,c4.5.90.64.00.00,c4.5.90.65.00.00,c4.5.90.66.00.00,c4.5.90.67.00.00,c4.5.90.82.00.00,c4.5.90.83.00.00,c4.5.90.91.00.00,c4.5.90.92.00.00,c4.5.90.93.00.00,c4.5.90.99.00.00,c4.5.91.00.00.00,c4.5.91.61.00.00,c4.5.91.91.00.00,c4.5.91.92.00.00,c4.5.91.99.00.00,c4.5.99.00.00.00,c4.6.00.00.00.00,c4.6.35.00.00.00,c4.6.36.00.00.00,c4.6.45.00.00.00,c4.6.46.00.00.00,c4.6.71.00.00.00,c4.6.73.00.00.00,c4.6.74.00.00.00,c4.6.90.00.00.00,c4.6.99.00.00.00,cACDO000001,cACDO000002,cACDO000003,cACDO000004,cACDO000005,cACDO000006,cACDO000007
Dotação Inicial,1,12,AC,Acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,1,27,AL,Alagoas,388764365.0,369809394.0,,,,,,,,,,,,345141399.0,,,,,,,,342141399.0,,342141399.0,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24667995.0,,24667995.0,,,,,,,,,,,,,,,,18954971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18805282.0,,,,,,379991.0,,,,,4090141.0,,,,,,,,,,,,,,,,,,4090141.0,,48000.0,383500.0,,,,1201042.0,,,1201042.0,1530000.0,,11031601.0,,,,,,,,,11031601.0,,,117007.0,,,,,24000.0,,,,,,,,,149689.0,,,,,,,,,,,,149689.0,,,,,,,,,,,,,,,,,,5217439.0,5167439.0,,,,,,,,,,,,,,,,,,,,5167439.0,,,,,,,,,,,,,,,,,,,,5000.0,,10000.0,5152439.0,,5152439.0,,,,,,,,,,,,,,,,,50000.0,,,,,,,,,,,,,50000.0,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,393981804.0,,3610435.0,,,,390371369.0
Dotação Inicial,1,16,AP,Amapá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,1,13,AM,Amazonas,1083999000.0,1006612000.0,,,,,,,,,,,,891258000.0,,,20883000.0,,20883000.0,,,854723000.0,,854723000.0,,6109000.0,5000.0,,924000.0,,,,,,,,,,,,,,,,,,,,,,,,,8614000.0,115354000.0,,115354000.0,,,,,,,,,,,,,,,,77387000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76223000.0,,,,,32000.0,125000.0,,730000.0,,,1106000.0,,,,,,,,,,,,,,,,,,1106000.0,,,483000.0,,,,,,,,9612000.0,,56000000.0,,,,,,,,,56000000.0,,,130000.0,,,,,,,,,,4631000.0,,,3374000.0,1164000.0,,,,,,,,,1164000.0,,1164000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083999000.0,,,,,,1083999000.0
Dotação Inicial,1,29,BA,Bahia,1514847000.0,1281741000.0,,,,,,,,,,,,1054281000.0,,,25038000.0,,25038000.0,29000.0,,999190000.0,,999190000.0,,16412000.0,9268000.0,,,,,,,,,,,,,,,,,,,,,,,,,,4344000.0,,227460000.0,,227460000.0,,,,,,,,,,,,,,,,233106000.0,,,,,,,,,,,63000.0,,,,,,,,,,,,,,,63000.0,63000.0,,,,,,,,,,,,,,,,,,,,,,,,,233043000.0,102000.0,,,102000.0,652000.0,911000.0,,43200000.0,,,1688000.0,,,,,,,,,,,,,,,,,,1688000.0,,,1470000.0,,,,3080000.0,,,3080000.0,21210000.0,,135231000.0,,,,,,,,,135231000.0,,,11198000.0,,,,,585000.0,,,,,,,,13716000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11290000.0,11290000.0,,,,,,,,,,,,,,,,,,,,11290000.0,,,,,,,,,,,,,,,,,,,,4950000.0,,,6340000.0,,6340000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526137000.0,,29000.0,29000.0,,,1526108000.0
Dotação Inicial,1,23,CE,Ceará,286215612.0,157167595.0,,,,,,,,,,,,75632407.0,,,,,,2000.0,,74761084.0,74761084.0,,,170000.0,500.0,,,687798.0,,,,,,,,,,,,,,687798.0,,,,,,,,,11025.0,,81535188.0,,81535188.0,,,,,,,,10000.0,,,,10000.0,,,,129038017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,300000.0,300000.0,,,,300000.0,,,,,,,,,,,,,127799623.0,,,,,,741011.0,,481200.0,,,1603999.0,,,,,,,,,,,,,,,,,,1603999.0,,,611522.0,6415379.0,6415379.0,442906.0,17960552.0,,,17960552.0,59761486.0,,25958553.0,,,,,,,,,25958553.0,,11301169.0,2503846.0,,,,,,,,7000.0,,11000.0,,,,938394.0,,,,,,,,,937894.0,,937894.0,500.0,,,,,,,,,,,,,,,,,,3631989.0,3531989.0,,,,,,,,,,,,,,,,,,,,3531989.0,,,,2934.0,,,,,,,,,,,3563.0,400516.0,,,,1446119.0,,447635.0,1231222.0,,1231222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,100000.0,,289847601.0,,9532894.0,2000.0,,,280314707.0
Dotação Inicial,1,53,DF,Distrito Federal,1873198751.0,1413405768.0,,,,,,,,,,,,928844124.0,,,6144.0,,6144.0,,,846337946.0,,846337946.0,,1969767.0,80528728.0,,,,,,,,,,,,,,,,,,1539.0,,,,,,,1539.0,,,484549674.0,,484549674.0,,,,,,,11970.0,,,,,,,,,459792983.0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459192983.0,,,,,3255460.0,39710.0,,,,,8967160.0,,,,,,,,,,,,,,,,,,8967160.0,,,252000.0,,,,136827.0,,,136827.0,208164731.0,,79562677.0,,,,,,,,,79562677.0,,155214899.0,,,,,,3213137.0,,,,386382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3590000.0,3590000.0,,,,,,,,,,,,,,,,,,,,3590000.0,,,,,,,,,,,,,,,,,,,,,,300000.0,3290000.0,,3290000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876788751.0,,,,,,1876788751.0
Dotação Inicial,1,32,ES,Espírito Santo,711646632.0,627860000.01,,,,,,,,,,,,559360000.01,,,173600000.0,140339416.77,33260583.23,,63000.0,366620000.0,29106949.42,337513050.58,180000.0,210000.0,582000.0,,,12310000.01,208082.85,,3846237.56,1521726.16,,,,52403.54,,,,316555.19,,6364994.71,1295000.0,1295000.0,,,,,,,4500000.0,,68500000.0,,68500000.0,,,,,,,,,,,,,,,,83786631.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79843377.99,,,,,,645012.0,,1537662.0,20000.0,8000000.0,4259469.99,473840.35,,,,,,490332.67,7999.13,,20769.28,7421.62,162449.09,3343.98,74491.46,,74491.46,239742.86,2779079.55,,,1589420.0,,,,4162900.0,3150793.04,,1012106.96,7693000.0,,20392514.0,746955.93,1524253.23,284689.8,192423.77,2387347.14,,,2387347.14,15256844.13,,29100000.0,100600.0,40800.0,,,40800.0,1597000.0,,,,105000.0,600000.0,,,,2943254.0,,,,,,,,,2943254.0,2943254.0,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711646632.0,,1729809.01,1729809.01,,,709916822.99
Dotação Inicial,1,52,GO,Goiás,712883000.0,665923000.0,,,,,,,,,,,,665923000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665923000.0,,,,,,,,,,,,,,,,,,,46960000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46960000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46960000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140000.0,2140000.0,,,,,,,,,,,,,,,,,,,,2140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715023000.0,,,,,,715023000.0
Dotação Inicial,1,21,MA,Maranhão,310855349.0,184045128.0,,,,,,,,,,,,184045128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184045128.0,,,,,,,,,,,,,,,,,,,126810221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126810221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126810221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9358836.0,9358836.0,,,,,,,,,,,,,,,,,,,,9358836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9358836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320214185.0,,,,,,320214185.0
